PERMNO,date,COMNAM,RET,vwretd
76661,12/31/2012,ISIS PHARMACEUTICALS INC,0.134783,0.012529
76661,01/31/2013,ISIS PHARMACEUTICALS INC,0.391762,0.054145
76661,02/28/2013,ISIS PHARMACEUTICALS INC,0.011356,0.008340
76661,03/28/2013,ISIS PHARMACEUTICALS INC,0.152773,0.035294
76661,04/30/2013,ISIS PHARMACEUTICALS INC,0.321724,0.014947
76661,05/31/2013,ISIS PHARMACEUTICALS INC,-0.031264,0.019074
76661,06/28/2013,ISIS PHARMACEUTICALS INC,0.238820,-0.015036
76661,07/31/2013,ISIS PHARMACEUTICALS INC,0.073688,0.052717
76661,08/30/2013,ISIS PHARMACEUTICALS INC,-0.104679,-0.025727
76661,09/30/2013,ISIS PHARMACEUTICALS INC,0.453349,0.037470
76661,10/31/2013,ISIS PHARMACEUTICALS INC,-0.113745,0.039895
76661,11/29/2013,ISIS PHARMACEUTICALS INC,0.165013,0.024966
76661,12/31/2013,ISIS PHARMACEUTICALS INC,0.027864,0.026140
76661,01/31/2014,ISIS PHARMACEUTICALS INC,0.281627,-0.029987
76661,02/28/2014,ISIS PHARMACEUTICALS INC,-0.001175,0.046186
76661,03/31/2014,ISIS PHARMACEUTICALS INC,-0.152745,0.004501
76661,04/30/2014,ISIS PHARMACEUTICALS INC,-0.384170,0.001670
76661,05/30/2014,ISIS PHARMACEUTICALS INC,0.098083,0.020223
76661,06/30/2014,ISIS PHARMACEUTICALS INC,0.178987,0.027961
76661,07/31/2014,ISIS PHARMACEUTICALS INC,-0.100435,-0.020536
76661,08/29/2014,ISIS PHARMACEUTICALS INC,0.315263,0.040206
76661,09/30/2014,ISIS PHARMACEUTICALS INC,-0.047350,-0.025132
76661,10/31/2014,ISIS PHARMACEUTICALS INC,0.186196,0.021198
76661,11/28/2014,ISIS PHARMACEUTICALS INC,0.124403,0.021159
76661,12/31/2014,ISIS PHARMACEUTICALS INC,0.192122,-0.003623
76661,01/30/2015,ISIS PHARMACEUTICALS INC,0.109653,-0.027200
76661,02/27/2015,ISIS PHARMACEUTICALS INC,0.000730,0.056017
76661,03/31/2015,ISIS PHARMACEUTICALS INC,-0.071324,-0.010454
76661,04/30/2015,ISIS PHARMACEUTICALS INC,-0.109157,0.008716
76661,05/29/2015,ISIS PHARMACEUTICALS INC,0.186883,0.010344
76661,06/30/2015,ISIS PHARMACEUTICALS INC,-0.145128,-0.019262
76661,07/31/2015,ISIS PHARMACEUTICALS INC,-0.045526,0.012113
76661,08/31/2015,ISIS PHARMACEUTICALS INC,-0.086474,-0.060046
76661,09/30/2015,ISIS PHARMACEUTICALS INC,-0.194500,-0.033769
76661,10/30/2015,ISIS PHARMACEUTICALS INC,0.191242,0.074021
76661,11/30/2015,ISIS PHARMACEUTICALS INC,0.267705,0.002448
76661,12/31/2015,IONIS PHARMACEUTICALS INC,0.014581,-0.022287
76661,01/29/2016,IONIS PHARMACEUTICALS INC,-0.371387,-0.057094
76661,02/29/2016,IONIS PHARMACEUTICALS INC,-0.112253,0.000685
76661,03/31/2016,IONIS PHARMACEUTICALS INC,0.171875,0.070518
76661,04/29/2016,IONIS PHARMACEUTICALS INC,0.011605,0.011814
76661,05/31/2016,IONIS PHARMACEUTICALS INC,-0.446180,0.014316
76661,06/30/2016,IONIS PHARMACEUTICALS INC,0.026443,0.003111
76661,07/29/2016,IONIS PHARMACEUTICALS INC,0.253328,0.038775
76661,08/31/2016,IONIS PHARMACEUTICALS INC,0.015759,0.002789
