DATE,TICKER,actual_return,expected_return_capm,capm_error,expected_return_mkt,mkt_error
2019-01-02,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-03,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-04,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-07,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-08,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-09,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-10,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-11,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-14,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-15,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-16,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-17,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-18,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-22,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-23,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-24,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-25,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-28,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-29,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-30,VZ,-0.067662,-0.04171593862329838,-0.02594606137670162,-0.03189795350652702,-0.03576404649347298
2019-01-31,VZ,-0.009916,0.040975270717604935,-0.050891270717604936,0.043365854147952736,-0.05328185414795274
