DATE,TICKER,actual_return,predicted_return,catboost_error,expected_return_capm,capm_error,expected_return_mkt,mkt_error
2019-01-02,VZ,-0.067662,0.0042244093025081,-0.0718864093025081,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-03,VZ,-0.067662,0.0062154285559507,-0.0738774285559507,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-04,VZ,-0.067662,0.0063541156275848,-0.0740161156275848,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-07,VZ,-0.067662,0.0063662086399231,-0.0740282086399231,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-08,VZ,-0.067662,0.0064888123181584,-0.0741508123181584,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-09,VZ,-0.067662,0.0028008233408808,-0.0704628233408808,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-10,VZ,-0.067662,0.0062550628169524,-0.0739170628169524,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-11,VZ,-0.067662,0.0063396623204014,-0.0740016623204014,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-14,VZ,-0.067662,0.0063396623204014,-0.0740016623204014,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-15,VZ,-0.067662,0.0062967377449488,-0.0739587377449488,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-16,VZ,-0.067662,0.0062967377449488,-0.0739587377449488,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-17,VZ,-0.067662,0.0062550628169524,-0.0739170628169524,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-18,VZ,-0.067662,0.0063501252465243,-0.0740121252465243,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-22,VZ,-0.067662,0.0064888123181584,-0.0741508123181584,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-23,VZ,-0.067662,0.0064458877427058,-0.0741078877427058,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-24,VZ,-0.067662,0.0046118171672487,-0.0722738171672487,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-25,VZ,-0.067662,0.0062550628169524,-0.0739170628169524,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-28,VZ,-0.067662,0.0062550628169524,-0.0739170628169524,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-29,VZ,-0.067662,0.0019893878025232,-0.0696513878025232,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-01-30,VZ,-0.067662,-0.0142609079952379,-0.053401092004762,-0.0417159386232983,-0.0259460613767016,-0.031897953506527,-0.0357640464934729
2019-02-01,VZ,-0.009916,0.0905418786832764,-0.1004578786832764,0.0409752707176049,-0.0508912707176049,0.0433658541479527,-0.0532818541479527
2019-02-04,VZ,-0.009916,0.090606653540569,-0.100522653540569,0.0409752707176049,-0.0508912707176049,0.0433658541479527,-0.0532818541479527
2019-02-05,VZ,-0.009916,0.090606653540569,-0.100522653540569,0.0409752707176049,-0.0508912707176049,0.0433658541479527,-0.0532818541479527
2019-02-06,VZ,-0.009916,0.0900168578750418,-0.0999328578750418,0.0409752707176049,-0.0508912707176049,0.0433658541479527,-0.0532818541479527
2019-02-07,VZ,-0.009916,0.0880978319779986,-0.0980138319779986,0.0409752707176049,-0.0508912707176049,0.0433658541479527,-0.0532818541479527
2019-02-08,VZ,-0.009916,0.0880978319779986,-0.0980138319779986,0.0409752707176049,-0.0508912707176049,0.0433658541479527,-0.0532818541479527
2019-02-11,VZ,-0.009916,0.0870357906702731,-0.0969517906702731,0.0409752707176049,-0.0508912707176049,0.0433658541479527,-0.0532818541479527
2019-02-12,VZ,-0.009916,0.0900168578750418,-0.0999328578750418,0.0409752707176049,-0.0508912707176049,0.0433658541479527,-0.0532818541479527
