DATE,TICKER,actual_return,predicted_return,catboost_error
2019-01-02,VZ,-0.067662,0.05851304530110744,-0.12617504530110743
2019-01-03,VZ,-0.067662,0.06678527092264899,-0.134447270922649
2019-01-04,VZ,-0.067662,0.06126813356921721,-0.1289301335692172
2019-01-07,VZ,-0.067662,0.06234235030383173,-0.13000435030383173
2019-01-08,VZ,-0.067662,0.058151657625136736,-0.12581365762513674
2019-01-09,VZ,-0.067662,0.035969955696059736,-0.10363195569605974
2019-01-10,VZ,-0.067662,0.07234501766789152,-0.14000701766789153
2019-01-11,VZ,-0.067662,0.060399053447924074,-0.12806105344792407
2019-01-14,VZ,-0.067662,0.05996225360036317,-0.12762425360036317
2019-01-15,VZ,-0.067662,0.06448947046870193,-0.13215147046870193
2019-01-16,VZ,-0.067662,0.06394613309038934,-0.13160813309038932
2019-01-17,VZ,-0.067662,0.07333699834016155,-0.14099899834016155
2019-01-18,VZ,-0.067662,0.06774969145329235,-0.13541169145329235
2019-01-22,VZ,-0.067662,0.05729787946957887,-0.12495987946957887
2019-01-23,VZ,-0.067662,0.06436080025746535,-0.13202280025746535
2019-01-24,VZ,-0.067662,0.057780713392220615,-0.12544271339222063
2019-01-25,VZ,-0.067662,0.07241790163806998,-0.14007990163807
2019-01-28,VZ,-0.067662,0.07201223047997966,-0.13967423047997968
2019-01-29,VZ,-0.067662,0.06058465417882339,-0.1282466541788234
2019-01-30,VZ,-0.067662,0.031965878962558064,-0.09962787896255806
2019-01-31,VZ,-0.067662,0.04865781061768492,-0.11631981061768493
2019-02-01,VZ,-0.009916,0.04239829041617434,-0.052314290416174344
2019-02-04,VZ,-0.009916,0.05131763652016083,-0.06123363652016083
2019-02-05,VZ,-0.009916,0.05114133085433839,-0.06105733085433839
2019-02-06,VZ,-0.009916,0.04627277472429248,-0.056188774724292484
2019-02-07,VZ,-0.009916,0.04869082628354569,-0.058606826283545695
2019-02-08,VZ,-0.009916,0.048100117328417465,-0.058016117328417466
2019-02-11,VZ,-0.009916,0.04697274526663067,-0.05688874526663067
2019-02-12,VZ,-0.009916,0.04600577944427081,-0.05592177944427081
2019-02-13,VZ,-0.009916,0.045954896758061345,-0.055870896758061346
2019-02-14,VZ,-0.009916,0.046387379114326235,-0.05630337911432624
2019-02-15,VZ,-0.009916,0.051933196622853735,-0.061849196622853736
2019-02-19,VZ,-0.009916,0.04228308625988324,-0.05219908625988324
2019-02-20,VZ,-0.009916,0.03881042399330646,-0.04872642399330646
